"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","MA1","TMP","WND"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-12T09:00:00","4","FM-12","99999","V020","99999,9,10080,1","+0352,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-12T12:00:00","4","FM-12","99999","V020","99999,9,10076,1","+0338,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-13T03:00:00","4","FM-12","99999","V020","99999,9,10109,1","+0288,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-13T06:00:00","4","FM-12","99999","V020","99999,9,10107,1","+0330,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-13T09:00:00","4","FM-12","99999","V020","99999,9,10083,1","+0356,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-13T12:00:00","4","FM-12","99999","V020","99999,9,10073,1","+0330,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-14T03:00:00","4","FM-12","99999","V020","99999,9,10112,1","+0290,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-14T06:00:00","4","FM-12","99999","V020","99999,9,10109,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-14T09:00:00","4","FM-12","99999","V020","99999,9,10085,1","+0358,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-14T12:00:00","4","FM-12","99999","V020","99999,9,10072,1","+0338,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-15T03:00:00","4","FM-12","99999","V020","99999,9,10116,1","+0286,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-15T06:00:00","4","FM-12","99999","V020","99999,9,10108,1","+0336,1","180,1,N,0015,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-15T09:00:00","4","FM-12","99999","V020","99999,9,10082,1","+0356,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-15T12:00:00","4","FM-12","99999","V020","99999,9,10067,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-19T03:00:00","4","FM-12","99999","V020","99999,9,10087,1","+0310,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-19T06:00:00","4","FM-12","99999","V020","99999,9,10082,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-19T09:00:00","4","FM-12","99999","V020","99999,9,10063,1","+0356,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-19T12:00:00","4","FM-12","99999","V020","99999,9,10045,1","+0342,1","320,1,N,0010,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-20T03:00:00","4","FM-12","99999","V020","99999,9,10098,1","+0290,1","180,1,N,0041,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-20T06:00:00","4","FM-12","99999","V020","99999,9,10109,1","+0250,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-20T09:00:00","4","FM-12","99999","V020","99999,9,10058,1","+0268,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-20T12:00:00","4","FM-12","99999","V020","99999,9,10045,1","+0292,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-21T03:00:00","4","FM-12","99999","V020","99999,9,10084,1","+0270,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-21T06:00:00","4","FM-12","99999","V020","99999,9,10085,1","+0336,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-21T09:00:00","4","FM-12","99999","V020","99999,9,10072,1","+0356,1","999,9,C,0000,1"
"43225099999","KARWAR, IN","14.7833333","74.1333333","4.0","2024-04-21T12:00:00","4","FM-12","99999","V020","99999,9,10056,1","+0334,1","320,1,N,0010,1"
